ServerName,DatabaseName,DatabaseFileName,FileType,TimeDataCollected,CounterName,AggregatorType,Value
LEGACYSQL2012,TEAM11_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Mean,0.56
LEGACYSQL2012,TEAM11_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM11_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Variance,0
LEGACYSQL2012,TEAM11_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Max,0.56
LEGACYSQL2012,TEAM12_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Mean,0.56
LEGACYSQL2012,TEAM12_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM12_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Variance,0
LEGACYSQL2012,TEAM12_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Max,0.56
LEGACYSQL2012,TEAM13_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Mean,0.56
LEGACYSQL2012,TEAM13_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM13_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Variance,0
LEGACYSQL2012,TEAM13_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Max,0.56
LEGACYSQL2012,TEAM14_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Mean,0.56
LEGACYSQL2012,TEAM14_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM14_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Variance,0
LEGACYSQL2012,TEAM14_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Max,0.56
LEGACYSQL2012,TEAM15_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Mean,0.56
LEGACYSQL2012,TEAM15_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM15_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Variance,0
LEGACYSQL2012,TEAM15_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Max,0.56
LEGACYSQL2012,TEAM16_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Mean,0.56
LEGACYSQL2012,TEAM16_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM16_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Variance,0
LEGACYSQL2012,TEAM16_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Max,0.56
LEGACYSQL2012,TEAM17_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Mean,0.56
LEGACYSQL2012,TEAM17_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM17_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Variance,0
LEGACYSQL2012,TEAM17_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Max,0.56
LEGACYSQL2012,TEAM18_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Mean,0.56
LEGACYSQL2012,TEAM18_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM18_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Variance,0
LEGACYSQL2012,TEAM18_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Max,0.56
LEGACYSQL2012,TEAM19_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Mean,0.56
LEGACYSQL2012,TEAM19_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM19_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Variance,0
LEGACYSQL2012,TEAM19_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Max,0.56
LEGACYSQL2012,TEAM20_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Mean,0.56
LEGACYSQL2012,TEAM20_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM20_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Variance,0
LEGACYSQL2012,TEAM20_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Max,0.56
LEGACYSQL2012,TEAM01_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Mean,0.56
LEGACYSQL2012,TEAM01_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM01_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Variance,0
LEGACYSQL2012,TEAM01_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Max,0.56
